0,1,128,832,Road
1,1,128,832,Road
1,2,128,832,Road
1,3,128,832,Road
1,4,128,832,Road
2,4,128,832,Road
3,4,128,832,Road
3,3,128,832,Road
3,2,128,832,Road
3,1,128,832,Road
4,1,128,832,Road
5,1,128,832,Road
5,2,128,832,Road
5,3,128,832,Road
5,4,128,832,Road
6,4,128,832,Road
7,4,128,832,Road
7,3,128,832,Road
7,2,128,832,Road
7,1,128,832,Road
8,1,128,832,Road
9,1,128,832,Road
9,2,128,832,Road
9,3,128,832,Road
9,4,128,832,Road
10,4,128,832,Road
11,4,128,832,Road
11,3,128,832,Road
11,2,128,832,Road
11,1,128,832,Road
12,1,128,832,Road
13,1,128,832,Road
13,2,128,832,Road
13,3,128,832,Road
13,4,128,832,Road
