0, 0, 128, 832, Road
1, 0, 128, 832, Road
2, 0, 128, 832, Road
2, 1, 128, 832, Road
2, 2, 128, 832, Road
1, 2, 128, 832, Road
0, 2, 128, 832, Road
0, 3, 128, 832, Road
0, 4, 128, 832, Road
1, 4, 128, 832, Road
2, 4, 128, 832, Road
2, 5, 128, 832, Road
2, 6, 128, 832, Road
1, 6, 128, 832, Road
0, 6, 128, 832, Road
0, 7, 128, 832, Road
0, 8, 128, 832, Road
1, 8, 128, 832, Road
2, 8, 128, 832, Road
2, 9, 128, 832, Road
2, 10, 128, 832, Road
1, 10, 128, 832, Road
0, 10, 128, 832, Road
0, 11, 128, 832, Road
0, 12, 128, 832, Road
0, 13, 128, 832, Road
0, 14, 128, 832, Road
1, 14, 128, 832, Road
2, 14, 128, 832, Road
2, 13, 128, 832, Road
2, 12, 128, 832, Road
3, 12, 128, 832, Road
4, 12, 128, 832, Road
4, 13, 128, 832, Road
4, 14, 128, 832, Road
5, 14, 128, 832, Road
6, 14, 128, 832, Road
6, 13, 128, 832, Road
6, 12, 128, 832, Road
6, 11, 128, 832, Road
6, 10, 128, 832, Road
5, 10, 128, 832, Road
4, 10, 128, 832, Road
4, 9, 128, 832, Road
4, 8, 128, 832, Road
5, 8, 128, 832, Road
6, 8, 128, 832, Road
6, 7, 128, 832, Road
6, 6, 128, 832, Road
5, 6, 128, 832, Road
4, 6, 128, 832, Road
4, 5, 128, 832, Road
4, 4, 128, 832, Road
5, 4, 128, 832, Road
6, 4, 128, 832, Road
6, 3, 128, 832, Road
6, 2, 128, 832, Road
5, 2, 128, 832, Road
4, 2, 128, 832, Road
4, 1, 128, 832, Road
4, 0, 128, 832, Road
5, 0, 128, 832, Road
6, 0, 128, 832, Road
7, 0, 128, 832, Road
8, 0, 128, 832, Road
8, 1, 128, 832, Road
8, 2, 128, 832, Road
8, 3, 128, 832, Road
8, 4, 128, 832, Road
8, 5, 128, 832, Road
8, 6, 128, 832, Road
8, 7, 128, 832, Road
8, 8, 128, 832, Road
8, 9, 128, 832, Road
8, 10, 128, 832, Road
8, 11, 128, 832, Road
8, 12, 128, 832, Road
8, 13, 128, 832, Road
8, 14, 128, 832, Road
9, 14, 128, 832, Road
10, 14, 128, 832, Road
10, 13, 128, 832, Road
10, 12, 128, 832, Road
10, 11, 128, 832, Road
10, 10, 128, 832, Road
10, 9, 128, 832, Road
10, 8, 128, 832, Road
10, 7, 128, 832, Road
10, 6, 128, 832, Road
10, 5, 128, 832, Road
10, 4, 128, 832, Road
10, 3, 128, 832, Road
10, 2, 128, 832, Road
10, 1, 128, 832, Road
10, 0, 128, 832, Road
11, 0, 128, 832, Road
12, 0, 128, 832, Road
12, 1, 128, 832, Road
12, 2, 128, 832, Road
12, 3, 128, 832, Road
12, 4, 128, 832, Road
12, 5, 128, 832, Road
12, 6, 128, 832, Road
12, 7, 128, 832, Road
12, 8, 128, 832, Road
12, 9, 128, 832, Road
12, 10, 128, 832, Road
12, 11, 128, 832, Road
12, 12, 128, 832, Road
12, 13, 128, 832, Road
12, 14, 128, 832, Road
13, 14, 128, 832, Road
14, 14, 128, 832, Road
14, 13, 128, 832, Road
14, 12, 128, 832, Road
14, 11, 128, 832, Road
14, 10, 128, 832, Road
14, 9, 128, 832, Road
14, 8, 128, 832, Road
14, 7, 128, 832, Road
14, 6, 128, 832, Road
14, 5, 128, 832, Road
14, 4, 128, 832, Road
14, 3, 128, 832, Road
14, 2, 128, 832, Road
14, 1, 128, 832, Road
14, 0, 128, 832, Road
